filename,epoch,Iter,local_R_theta
rank0_relu1024_epoch1.log,0,310,12.377288
rank0_relu1024_epoch1.log,0,620,10.239742
rank0_relu1024_epoch1.log,0,930,9.26322
rank0_relu1024_epoch1.log,0,1240,8.698991
rank0_relu1024_epoch1.log,0,1550,8.326568
rank0_relu1024_epoch1.log,0,1860,8.045514
rank0_relu1024_epoch1.log,0,2170,7.869802
rank0_relu1024_epoch1.log,0,2480,7.696306
rank0_relu1024_epoch1.log,0,2790,7.571086
rank0_relu1024_epoch1.log,0,3100,7.472262
rank0_relu1024_epoch5.log,0,625,10.217946
rank0_relu1024_epoch5.log,0,1250,8.691088
rank0_relu1024_epoch5.log,0,1875,8.034294
rank0_relu1024_epoch5.log,0,2500,7.682695
rank0_relu1024_epoch5.log,0,3125,7.472123
rank0_relu1024_epoch5.log,1,3750,8.789116
rank0_relu1024_epoch5.log,1,4375,8.094073
rank0_relu1024_epoch5.log,1,5000,7.719258
rank0_relu1024_epoch5.log,1,5625,7.507986
rank0_relu1024_epoch5.log,1,6250,7.39249
rank0_relu1024_epoch5.log,2,6875,7.313896
rank0_relu1024_epoch5.log,2,7500,7.234361
rank0_relu1024_epoch5.log,2,8125,7.191559
rank0_relu1024_epoch5.log,2,8750,7.180346
rank0_relu1024_epoch5.log,2,9375,7.125095
rank0_relu1024_epoch5.log,3,10000,7.083095
rank0_relu1024_epoch5.log,3,10625,7.068188
rank0_relu1024_epoch5.log,3,11250,7.06046
rank0_relu1024_epoch5.log,3,11875,7.01493
rank0_relu1024_epoch5.log,3,12500,6.993125
rank0_relu1024_epoch5.log,4,13125,6.977205
rank0_relu1024_epoch5.log,4,13750,6.950148
rank0_relu1024_epoch5.log,4,14375,6.942482
rank0_relu1024_epoch5.log,4,15000,6.921583
rank0_relu1024_epoch5.log,4,15625,6.900789
rank0_relu128_epoch1.log,0,2500,7.726701
rank0_relu128_epoch1.log,0,5000,7.144239
rank0_relu128_epoch1.log,0,7500,6.899632
rank0_relu128_epoch1.log,0,10000,6.762194
rank0_relu128_epoch1.log,0,12500,6.651569
rank0_relu128_epoch1.log,0,15000,6.559647
rank0_relu128_epoch1.log,0,17500,6.475804
rank0_relu128_epoch1.log,0,20000,6.356507
rank0_relu128_epoch1.log,0,22500,6.265049
rank0_relu128_epoch1.log,0,25000,6.192487
rank0_relu2048_epoch1.log,0,155,15.4519
rank0_relu2048_epoch1.log,0,310,12.450213
rank0_relu2048_epoch1.log,0,465,11.092488
rank0_relu2048_epoch1.log,0,620,10.247913
rank0_relu2048_epoch1.log,0,775,9.68973
rank0_relu2048_epoch1.log,0,930,9.270834
rank0_relu2048_epoch1.log,0,1085,8.96572
rank0_relu2048_epoch1.log,0,1240,8.706033
rank0_relu2048_epoch1.log,0,1395,8.496328
rank0_relu2048_epoch1.log,0,1550,8.311416
rank0_relu256_epoch1.log,0,1250,8.665375
rank0_relu256_epoch1.log,0,2500,7.695323
rank0_relu256_epoch1.log,0,3750,7.310352
rank0_relu256_epoch1.log,0,5000,7.133391
rank0_relu256_epoch1.log,0,6250,7.012334
rank0_relu256_epoch1.log,0,7500,6.920227
