Feature,Mean,Std
trip_distance,3.976538857142857,5.1694715612487885
extra,0.8179857142857143,1.1482127699539626
trip_duration_minutes,16.373762857142857,71.51669843391718
pickup_hour_high,0.42325714285714283,0.4940895504339843
pickup_hour_low,0.10468571428571428,0.3061567762158274
pickup_hour_normal,0.47205714285714284,0.4992328501265452
pickup_loc_attractive,0.8153714285714285,0.3880070422909617
pickup_loc_normal,0.1832,0.3868414548853107
pickup_loc_rare,0.0014285714285714286,0.03777051936283387
dropoff_loc_attractive,0.8226285714285714,0.38199364279358067
dropoff_loc_normal,0.17137142857142856,0.37684396900659506
dropoff_loc_rare,0.006,0.07722914488375097
passenger_big_group,0.06011428571428572,0.23770525268740778
passenger_normal,0.28017142857142857,0.4490956737163784
passenger_single,0.6597142857142857,0.47381871612339066
RatecodeID_1,0.9322285714285714,0.25136044327808627
RatecodeID_2,0.04594285714285714,0.20936717950911005
RatecodeID_3,0.005828571428571429,0.07612443971911416
RatecodeID_4,0.0016,0.0399691291811836
RatecodeID_5,0.0132,0.11413371268682353
RatecodeID_99,0.0012,0.034621214494248265
payment_type_1,0.7234285714285714,0.44731544490096103
payment_type_2,0.2648,0.44123926078944403
payment_type_3,0.006342857142857143,0.07939134384000009
payment_type_4,0.0054285714285714284,0.07348068166915486
